partId,bomId
20020324,-336aa3e0:184513a58c5:-6a62
20020324,-336aa3e0:184513a58c5:-6efe
20020324,-35d5fef9:188e059df3b:-44b3
20020324,-43d815b2:182ca31d95b:54d7
20020324,-43d815b2:182ca31d95b:58d8
20020324,-43d815b2:182ca31d95b:5d55
20020324,5a0534e6:18382c3d3fe:-432c
20020325,5a0534e6:18382c3d3fe:-3312
20020326,-37026512:18cee4f8516:4e15
20020326,-37026512:18cee4f8516:52f9
20020326,-43d815b2:182ca31d95b:760a
20020326,-43d815b2:182ca31d95b:7ab8
20020326,-43d815b2:182ca31d95b:7f8b
20020326,-43d815b2:182ca328636:-5eb8
20020326,-43d815b2:182ca328636:-6323
20020326,-43d815b2:182ca328636:-66f7
20020326,-43d815b2:182ca328636:-6c17
20020326,-43d815b2:182ca328636:-7135
20020326,-43d815b2:182ca328636:-7653
20020326,-43d815b2:182ca328636:-7b73
20020326,-75dd00fe:1916e2c15db:3d96
20020326,-75dd00fe:1916e2c15db:4281
20020326,-75dd00fe:1916e2c15db:476f
20020326,-75dd00fe:1916e2c15db:4e2f
20020326,-75dd00fe:1916e2c15db:5243
20020326,-75dd00fe:1916e2c15db:5eeb
20020326,-75dd00fe:1916e2c15db:6299
20020326,-f717141:182cd385f4b:dad
20020326,4843cdee:1840acc7dbd:-2ea5
20020326,5a0534e6:18382c3d3fe:-1b83
20020326,5a0534e6:18382c3d3fe:-27f4
20020326,5a0534e6:18382c3d3fe:dba
20020327,-37026512:18cee4f8516:4e16
20020327,-37026512:18cee4f8516:52fa
20020327,-43d815b2:182ca31d95b:760b
20020327,-43d815b2:182ca31d95b:7ab9
20020327,-43d815b2:182ca31d95b:7f8c
20020327,-43d815b2:182ca328636:-5eb7
20020327,-43d815b2:182ca328636:-6322
20020327,-43d815b2:182ca328636:-66f6
20020327,-43d815b2:182ca328636:-6c16
20020327,-43d815b2:182ca328636:-7134
20020327,-43d815b2:182ca328636:-7652
20020327,-43d815b2:182ca328636:-7b72
20020327,-75dd00fe:1916e2c15db:3d97
20020327,-75dd00fe:1916e2c15db:4282
20020327,-75dd00fe:1916e2c15db:4770
20020327,-75dd00fe:1916e2c15db:4e30
20020327,-75dd00fe:1916e2c15db:5244
20020327,-75dd00fe:1916e2c15db:5eec
20020327,-75dd00fe:1916e2c15db:629a
20020327,-f717141:182cd385f4b:dae
20020327,4843cdee:1840acc7dbd:-2ea4
20020327,5a0534e6:18382c3d3fe:-1b82
20020327,5a0534e6:18382c3d3fe:-27f3
20020327,5a0534e6:18382c3d3fe:dbb
20020328,-37026512:18cee4f8516:4e17
20020328,-37026512:18cee4f8516:52fb
20020328,-43d815b2:182ca31d95b:760c
20020328,-43d815b2:182ca31d95b:7aba
20020328,-43d815b2:182ca31d95b:7f8d
20020328,-43d815b2:182ca328636:-5eb6
20020328,-43d815b2:182ca328636:-6321
20020328,-43d815b2:182ca328636:-66f5
20020328,-43d815b2:182ca328636:-6c15
20020328,-43d815b2:182ca328636:-7133
20020328,-43d815b2:182ca328636:-7651
20020328,-43d815b2:182ca328636:-7b71
20020328,-75dd00fe:1916e2c15db:3d98
20020328,-75dd00fe:1916e2c15db:4283
20020328,-75dd00fe:1916e2c15db:4771
20020328,-75dd00fe:1916e2c15db:4e31
20020328,-75dd00fe:1916e2c15db:5245
20020328,-75dd00fe:1916e2c15db:5eed
20020328,-75dd00fe:1916e2c15db:629b
20020328,-f717141:182cd385f4b:daf
20020328,4843cdee:1840acc7dbd:-2ea3
20020328,5a0534e6:18382c3d3fe:-1b81
20020328,5a0534e6:18382c3d3fe:-27f2
20020328,5a0534e6:18382c3d3fe:dbc
20020329,-37026512:18cee4f8516:4e18
20020329,-37026512:18cee4f8516:52fc
20020329,-43d815b2:182ca31d95b:760d
20020329,-43d815b2:182ca31d95b:7abb
20020329,-43d815b2:182ca31d95b:7f8e
20020329,-43d815b2:182ca328636:-5eb5
20020329,-43d815b2:182ca328636:-6320
20020329,-43d815b2:182ca328636:-66f4
20020329,-43d815b2:182ca328636:-6c14
20020329,-43d815b2:182ca328636:-7132
20020329,-43d815b2:182ca328636:-7650
20020329,-43d815b2:182ca328636:-7b70
20020329,-75dd00fe:1916e2c15db:3d99
20020329,-75dd00fe:1916e2c15db:4284
20020329,-75dd00fe:1916e2c15db:4772
20020329,-75dd00fe:1916e2c15db:4e32
20020329,-75dd00fe:1916e2c15db:5246
20020329,-75dd00fe:1916e2c15db:5eee
20020329,-75dd00fe:1916e2c15db:629c
20020329,-f717141:182cd385f4b:db0
20020329,4843cdee:1840acc7dbd:-2ea2
20020329,5a0534e6:18382c3d3fe:-1b80
20020329,5a0534e6:18382c3d3fe:-27f1
20020329,5a0534e6:18382c3d3fe:dbd
20020330,-37026512:18cee4f8516:4e19
20020330,-37026512:18cee4f8516:52fd
20020330,-43d815b2:182ca31d95b:760e
20020330,-43d815b2:182ca31d95b:7abc
20020330,-43d815b2:182ca31d95b:7f8f
20020330,-43d815b2:182ca328636:-5eb4
20020330,-43d815b2:182ca328636:-631f
20020330,-43d815b2:182ca328636:-66f3
20020330,-43d815b2:182ca328636:-6c13
20020330,-43d815b2:182ca328636:-7131
20020330,-43d815b2:182ca328636:-764f
20020330,-43d815b2:182ca328636:-7b6f
20020330,-75dd00fe:1916e2c15db:3d9a
20020330,-75dd00fe:1916e2c15db:4285
20020330,-75dd00fe:1916e2c15db:4773
20020330,-75dd00fe:1916e2c15db:4e33
20020330,-75dd00fe:1916e2c15db:5247
20020330,-75dd00fe:1916e2c15db:5eef
20020330,-75dd00fe:1916e2c15db:629d
20020330,-f717141:182cd385f4b:db1
20020330,4843cdee:1840acc7dbd:-2ea1
20020330,5a0534e6:18382c3d3fe:-1b7f
20020330,5a0534e6:18382c3d3fe:-27f0
20020330,5a0534e6:18382c3d3fe:dbe
20020331,-37026512:18cee4f8516:4e1a
20020331,-37026512:18cee4f8516:52fe
20020331,-43d815b2:182ca31d95b:760f
20020331,-43d815b2:182ca31d95b:7abd
20020331,-43d815b2:182ca31d95b:7f90
20020331,-43d815b2:182ca328636:-5eb3
20020331,-43d815b2:182ca328636:-631e
20020331,-43d815b2:182ca328636:-66f2
20020331,-43d815b2:182ca328636:-6c12
20020331,-43d815b2:182ca328636:-7130
20020331,-43d815b2:182ca328636:-764e
20020331,-43d815b2:182ca328636:-7b6e
20020331,-75dd00fe:1916e2c15db:3d9b
20020331,-75dd00fe:1916e2c15db:4286
20020331,-75dd00fe:1916e2c15db:4774
20020331,-75dd00fe:1916e2c15db:4e34
20020331,-75dd00fe:1916e2c15db:5248
20020331,-75dd00fe:1916e2c15db:5ef0
20020331,-75dd00fe:1916e2c15db:629e
20020331,-f717141:182cd385f4b:db2
20020331,4843cdee:1840acc7dbd:-2ea0
20020331,5a0534e6:18382c3d3fe:-1b7e
20020331,5a0534e6:18382c3d3fe:-27ef
20020331,5a0534e6:18382c3d3fe:dbf
20020332,-37026512:18cee4f8516:4e1b
20020332,-37026512:18cee4f8516:52ff
20020332,-43d815b2:182ca31d95b:7610
20020332,-43d815b2:182ca31d95b:7abe
20020332,-43d815b2:182ca31d95b:7f91
20020332,-43d815b2:182ca328636:-5eb2
20020332,-43d815b2:182ca328636:-631d
20020332,-43d815b2:182ca328636:-66f1
20020332,-43d815b2:182ca328636:-6c11
20020332,-43d815b2:182ca328636:-712f
20020332,-43d815b2:182ca328636:-764d
20020332,-43d815b2:182ca328636:-7b6d
20020332,-75dd00fe:1916e2c15db:3d9c
20020332,-75dd00fe:1916e2c15db:4287
20020332,-75dd00fe:1916e2c15db:4775
20020332,-75dd00fe:1916e2c15db:4e35
20020332,-75dd00fe:1916e2c15db:5249
20020332,-75dd00fe:1916e2c15db:5ef1
20020332,-75dd00fe:1916e2c15db:629f
20020332,-f717141:182cd385f4b:db3
